id	date	question
495996901	2019-04-21 8:38:01	||Hello there|I'm from Nepal looking for admission in Shoreline college  to get degree. I would like to know what are the required documents to apply for admission from nepal and what the cost of attendance. |I would also like to know regarding the tuition fee deadline, shall we have to pay before our classes start or at the end of each semester. And what are the Chances of Scholarship and what amount of Scholarship you provide.||Thank you |Hoping for sooner reply
519163216	2019-07-10 12:58:12	||Hello,||My name is. Currently, I am a second-year student, Bachelor of Science in nursing at the University of Ottawa.|I am planning to move to Seattle and I am searching for nursing universities/ colleges, therefore, what requirements do I need to enrol at your college as a nursing student.||I will wait to hear from you||Thank you,|Adiam T.|
447835205	2018-10-19 11:57:30	|Could you give me more information on agronomy or agriculture, thank you very much.
428788128	2018-08-01 23:31:43	|Dear, I am a Brazilian student and would like to know if the course of English as a second language could only be done in one year, or is there the possibility of doing a quarter? I would also like to know the costs for the quarter.||Thank you in advance.
496056002	2019-04-21 19:22:45	|Hello my name is and I've recently enrolled to re-pursue a nursing career but it's been a while since I've taken the classes. I was just wondering if credits expire and if I need to retake any classes. I should have most core classes down with good grades but it's likely been about 10 or so years.||Thanks,||Tae
431987891	2018-08-15 21:34:40	|Hello sir or ma'am ||My name is, and myself and my wife homeschool our 2 sons (9th grade) and we are wondering if you can send us some information about your school and possibly a couple items(pennent, pens etc. ) to put in our class room to keep them motivated in their future education .||Thank you and look forward to hearing from you ||Darryl and Katrina DeNeal |3118 Cherry Springs Dr. |Missouri City ,TX 77459
438729286	2018-09-13 15:38:52	|Hi there|I am a graduated student in 2016 spring.|Recently when I do my diploma certification in China, the related staff tells me that my diploma cannot be verified in NSC. They want me to connect with my school and then update related information in five days.|So here I want to know do my diploma is available in concerned system?||Name: xidan cao|ID:965365873|If you need more info about me,please let me know!|Thank all|
576333055	2020-01-29 16:34:44	|Hola from Instituto Benjamin Franklin de Yucatan, Mexico,|We have over 800 ESL students enrolled this year in our programs. IBF is part of a USA State Dept  Binational centers worldwide.|| I wonder if you could mail us some printed info on your programs for our international information center. Brochures, poster, USB and any other promo material in general you might have will also be welcomed!|||Muchas gracias,|Guillermo Vales.|Director.||Mailing address:| |Instituto Benjamin Franklin de Yucata
482804389	2019-03-04 10:02:05	|I am interested in the post-bac program for academic enhancement. |Is this postbac program the same type of program I would receive at a University?|Are there extra benefits to this program? Such as a letter of recommendation?|Is this program seen at the same level as a university post-bac program?
476373956	2019-02-08 13:06:02	|i have applied online and have sent in my fafsa for shoreline for spring quarter. I have also applied for a student loan and need some help with the financial part of applying to shoreline. Can someone call me from either enrollment, or financial aid 425 418 4553,. Rachel
487824965	2019-03-22 9:08:32	|Im looking for an ESL program.|Can you help me with tuition, start dates, fees, etc.|Also, I wanna know I can apply to the college with a Change status.||If I can have a phone call it will be great.||Thank you for your time.
452712356	2018-11-07 23:29:07	|what is the schedule of ESL classes?
389845058	2018-03-06 17:04:37	1: what is the schedule, how many hours a day, and how many days per week?  How long the program will be?| 2. How much does the program cost? Is Financial Aid available to apply?| 3.What information do I need to provide to be qualified to enroll the program? I'm from China, and i finished my high school and university in China. I have my university diploma and Bachelor's degree notarized documents in English. I have U.S. green card, but not U.S. citizen.
450268039	2018-10-29 21:35:04	1:how much cost the tuition?
437206900	2018-09-07 11:27:04	1. How do I obtain my SID?|2. How do I sign up for an orientation session?|
500316503	2019-04-28 2:03:04	1. How many years do I need apply for the nursing major in Shoreline community college?|2. How long will it take from application to admission? if I will apply in the beginning of May, When can i get I-20 form? can i catch the Fall 2019 semester?|3. How many majors are there in our college?|4. Are international students eligible to apply financial aid? if yes, how much will usually be issued?|Thanks a lot! Appreciate very much！
